Id,Sales
1,4085.61279297
2,7383.32226562
3,8773.34082031
4,7953.48535156
5,7134.53320312
6,5760.09619141
7,7741.5703125
8,7996.62988281
9,5222.83300781
10,5519.99316406
11,6618.01904297
12,8099.21826172
13,7239.0390625
14,9025.3515625
15,5805.85107422
16,4977.87792969
17,5408.8515625
18,9305.31640625
19,10655.4609375
20,9362.07714844
21,7696.36572266
22,4273.81640625
23,5562.73779297
24,4131.93945312
25,7111.00634766
26,10475.0507812
27,9466.33105469
28,5411.44238281
29,4891.61816406
30,4035.77636719
31,5903.86376953
32,10330.1289062
33,6291.71728516
34,4876.44921875
35,5445.22216797
36,7750.16259766
37,3501.56835938
38,7361.68457031
39,4428.05078125
40,6890.22802734
41,6957.17773438
42,5413.35742188
43,8160.72509766
44,6896.36279297
45,4911.08105469
46,6658.23046875
47,7082.39453125
48,10897.0546875
49,5745.23730469
50,8229.72851562
51,7062.93212891
52,8776.96582031
53,6552.81933594
54,8781.14355469
55,4759.19433594
56,5028.36328125
57,6146.42773438
58,5560.98681641
59,8706.66113281
60,7454.42919922
61,5583.28320312
62,7236.58154297
63,6501.71191406
64,9739.24707031
65,3745.26318359
66,13048.4824219
67,4749.48974609
68,5978.47851562
69,8210.71679688
70,4566.65673828
71,6024.37597656
72,5892.67919922
73,7299.51269531
74,5384.67285156
75,6035.4765625
76,7390.72705078
77,7493.65869141
78,6955.02832031
79,5524.328125
80,7299.15087891
81,11263.9042969
82,6436.74365234
83,4409.53027344
84,6519.14892578
85,5655.02783203
86,5419.31445312
87,7365.92675781
88,3746.94970703
89,7483.80908203
90,5822.01660156
91,6780.59521484
92,7083.65771484
93,3978.93481445
94,5176.64306641
95,5220.10888672
96,8188.64648438
97,8749.47558594
98,4961.77441406
99,4599.53173828
100,7058.42675781
101,5922.3125
102,6199.43017578
103,6279.55810547
104,6609.44580078
105,7616.30810547
106,5475.2734375
107,4386.29736328
108,6467.90917969
109,7786.63183594
110,7920.84179688
111,8079.96777344
112,7841.08935547
113,5502.96582031
114,8691.78417969
115,5589.47509766
116,6523.22314453
117,8591.63378906
118,6091.45458984
119,10046.203125
120,7505.55419922
121,7155.55029297
122,5843.72558594
123,7096.47949219
124,8099.18017578
125,6268.11669922
126,3595.39233398
127,5219.20263672
128,7447.18066406
129,5208.59423828
130,4085.50341797
131,8295.09863281
132,6613.45019531
133,5357.72412109
134,5665.8046875
135,5296.86474609
136,7560.61279297
137,7009.1640625
138,6746.19189453
139,5641.44628906
140,5141.45263672
141,6229.34033203
142,3737.90698242
143,6250.2421875
144,5314.75
145,8414.93261719
146,7395.25390625
147,5955.18408203
148,12533.5302734
149,5232.23242188
150,5011.98193359
151,10518.8320312
152,6776.94873047
153,8518.22265625
154,7134.02294922
155,5314.82568359
156,6205.79003906
157,5531.40429688
158,8317.42382812
159,11235.4501953
160,6127.1171875
161,3025.9987793
162,4552.33496094
163,8327.24316406
164,8246.22949219
165,5869.87011719
166,6588.68701172
167,4885.03857422
168,5649.42089844
169,3128.9375
170,5013.49267578
171,5971.42871094
172,7346.00097656
173,6798.35205078
174,6225.13476562
175,8024.31103516
176,8662.56152344
177,7607.37109375
178,4962.34277344
179,9288.54785156
180,10030.7304688
181,5688.75976562
182,7323.41845703
183,5478.99316406
184,6388.19189453
185,4158.8203125
186,7147.46728516
187,5257.22607422
188,8743.26855469
189,7291.21826172
190,7633.25341797
191,7875.83789062
192,5394.28076172
193,8389.44042969
194,19002.1445312
195,9759.43457031
196,5606.67382812
197,2861.86791992
198,6030.015625
199,7858.02490234
200,5426.68017578
201,12386.7548828
202,18674.8183594
203,3815.07666016
204,5399.72753906
205,9131.66308594
206,5168.68408203
207,8360.93847656
208,6613.02734375
209,7414.10400391
210,5318.30517578
211,6088.02783203
212,5956.45605469
213,7249.15478516
214,9578.54980469
215,6019.23535156
216,5698.92675781
217,6941.40917969
218,5012.68017578
219,4935.64697266
220,7411.26904297
221,5639.93994141
222,5504.86572266
223,7061.01269531
