Id,Sales
1,4064.87353516
2,7345.84326172
3,8728.80664062
4,7913.11279297
5,7098.31738281
6,5730.85742188
7,7702.27294922
8,7956.03759766
9,5196.32128906
10,5491.97265625
11,6584.42480469
12,8058.10546875
13,7202.29296875
14,8979.53710938
15,5776.37988281
16,4952.609375
17,5381.39550781
18,9258.08105469
19,10601.3720703
20,9314.55371094
21,7657.29833984
22,4252.12207031
23,5534.50048828
24,4110.96533203
25,7074.91015625
26,10421.8779297
27,9418.27832031
28,5383.97314453
29,4866.78759766
30,4015.2902832
31,5873.89453125
32,10277.6914062
33,6259.77978516
34,4851.69580078
35,5417.58105469
36,7710.82128906
37,3483.79394531
38,7324.31591797
39,4405.57324219
40,6855.25244141
41,6921.86230469
42,5385.87841797
43,8119.30029297
44,6861.35595703
45,4886.15185547
46,6624.43212891
47,7046.44335938
48,10841.7402344
49,5716.07373047
50,8187.95361328
51,7027.07958984
52,8732.41308594
53,6519.55615234
54,8736.56933594
55,4735.03613281
56,5002.83886719
57,6115.22753906
58,5532.75878906
59,8662.46484375
60,7416.58935547
61,5554.94140625
62,7199.84765625
63,6468.70849609
64,9689.80957031
65,3726.25170898
66,12982.2470703
67,4725.38085938
68,5948.13134766
69,8169.03808594
70,4543.47558594
71,5993.79541016
72,5862.76708984
73,7262.45947266
74,5357.33935547
75,6004.83935547
76,7353.21044922
77,7455.62011719
78,6919.72363281
79,5496.28613281
80,7262.09912109
81,11206.7275391
82,6404.06982422
83,4387.14648438
84,6486.05712891
85,5626.32226562
86,5391.80517578
87,7328.53613281
88,3727.9296875
89,7445.81982422
90,5792.46337891
91,6746.17626953
92,7047.70019531
93,3958.73706055
94,5150.36572266
95,5193.61083984
96,8147.08007812
97,8705.06152344
98,4936.58789062
99,4576.18359375
100,7022.59716797
101,5892.25
102,6167.96142578
103,6247.68261719
104,6575.89550781
105,7577.64697266
106,5447.48046875
107,4364.03173828
108,6435.07714844
109,7747.10595703
110,7880.63476562
111,8038.95263672
112,7801.28662109
113,5475.03173828
114,8647.6640625
115,5561.10205078
116,6490.11035156
117,8548.02148438
118,6060.53369141
119,9995.20703125
120,7467.45507812
121,7119.22802734
122,5814.06201172
123,7060.45654297
124,8058.06738281
125,6236.29882812
126,3577.14160156
127,5192.70898438
128,7409.37792969
129,5182.15478516
130,4064.76489258
131,8252.99121094
132,6579.87939453
133,5330.52783203
134,5637.04443359
135,5269.97705078
136,7522.234375
137,6973.58447266
138,6711.94726562
139,5612.80957031
140,5115.35400391
141,6197.71923828
142,3718.93286133
143,6218.51513672
144,5287.77148438
145,8372.21777344
146,7357.71484375
147,5924.95458984
148,12469.9091797
149,5205.67285156
150,4986.54052734
151,10465.4375
152,6742.54785156
153,8474.98242188
154,7097.80957031
155,5287.84716797
156,6174.28857422
157,5503.32617188
158,8275.203125
159,11178.4169922
160,6096.01513672
161,3010.63818359
162,4529.2265625
163,8284.97265625
164,8204.37109375
165,5840.07373047
166,6555.2421875
167,4860.24169922
168,5620.74365234
169,3113.05444336
170,4988.04345703
171,5941.1171875
172,7308.71191406
173,6763.84277344
174,6193.53515625
175,7983.578125
176,8618.58886719
177,7568.75488281
178,4937.15283203
179,9241.3984375
180,9979.8125
181,5659.8828125
182,7286.24365234
183,5451.18115234
184,6355.76464844
185,4137.70947266
186,7111.18603516
187,5230.53955078
188,8698.88671875
189,7254.20703125
190,7594.50585938
191,7835.85888672
192,5366.89892578
193,8346.85449219
194,18905.6875
195,9709.89453125
196,5578.21386719
197,2847.34082031
198,5999.40673828
199,7818.13623047
200,5399.13330078
201,12323.8779297
202,18580.0234375
203,3795.7109375
204,5372.31787109
205,9085.30957031
206,5142.44726562
207,8318.49804688
208,6579.45898438
209,7376.46875
210,5291.30859375
211,6057.12402344
